,0
427,"3, 7488, Note_on_c, 0, 65, 0
"
428,"3, 7488, Note_on_c, 0, 72, 0
"
429,"3, 7488, Note_on_c, 0, 54, 91
"
430,"3, 7488, Note_on_c, 0, 60, 91
"
431,"3, 7488, Note_on_c, 0, 64, 91
"
432,"3, 7488, Note_on_c, 0, 72, 110
"
433,"3, 7536, Note_on_c, 0, 72, 0
"
434,"3, 7536, Note_on_c, 0, 69, 110
"
435,"3, 7584, Note_on_c, 0, 69, 0
"
436,"3, 7584, Note_on_c, 0, 69, 110
"
437,"3, 7680, Note_on_c, 0, 54, 0
"
438,"3, 7680, Note_on_c, 0, 60, 0
"
439,"3, 7680, Note_on_c, 0, 64, 0
"
440,"3, 7680, Note_on_c, 0, 54, 91
"
441,"3, 7680, Note_on_c, 0, 60, 91
"
442,"3, 7680, Note_on_c, 0, 63, 91
"
443,"3, 7728, Note_on_c, 0, 69, 0
"
444,"3, 7728, Note_on_c, 0, 70, 110
"
445,"3, 7776, Note_on_c, 0, 54, 0
"
446,"3, 7776, Note_on_c, 0, 60, 0
"
447,"3, 7776, Note_on_c, 0, 63, 0
"
448,"3, 7776, Note_on_c, 0, 70, 0
"
449,"3, 7776, Note_on_c, 0, 53, 91
"
450,"3, 7776, Note_on_c, 0, 58, 91
"
451,"3, 7776, Note_on_c, 0, 62, 91
"
452,"3, 7776, Note_on_c, 0, 70, 110
"
453,"3, 7824, Note_on_c, 0, 70, 0
"
454,"3, 7824, Note_on_c, 0, 67, 110
"
455,"3, 7872, Note_on_c, 0, 67, 0
"
456,"3, 7872, Note_on_c, 0, 67, 110
"
457,"3, 7968, Note_on_c, 0, 53, 0
"
458,"3, 7968, Note_on_c, 0, 58, 0
"
459,"3, 7968, Note_on_c, 0, 62, 0
"
460,"3, 7968, Note_on_c, 0, 67, 0
"
461,"3, 7968, Note_on_c, 0, 53, 91
"
462,"3, 7968, Note_on_c, 0, 59, 91
"
463,"3, 7968, Note_on_c, 0, 63, 91
"
464,"3, 7968, Note_on_c, 0, 69, 110
"
465,"3, 8064, Note_on_c, 0, 53, 0
"
466,"3, 8064, Note_on_c, 0, 59, 0
"
