,0
378,"2, 6720, Note_on_c, 0, 59, 107
"
379,"2, 6720, Note_on_c, 0, 65, 110
"
380,"2, 6768, Note_on_c, 0, 65, 0
"
381,"2, 6768, Note_on_c, 0, 65, 110
"
382,"2, 6859, Note_on_c, 0, 44, 0
"
383,"2, 6864, Note_on_c, 0, 59, 0
"
384,"2, 6864, Note_on_c, 0, 65, 0
"
385,"2, 6864, Note_on_c, 0, 43, 90
"
386,"2, 6864, Note_on_c, 0, 63, 110
"
387,"2, 6864, Note_on_c, 0, 58, 107
"
388,"2, 7050, Note_on_c, 0, 43, 0
"
389,"2, 7056, Note_on_c, 0, 63, 0
"
390,"2, 7056, Note_on_c, 0, 58, 0
"
391,"2, 7056, Note_on_c, 0, 57, 107
"
392,"2, 7056, Note_on_c, 0, 63, 110
"
393,"2, 7056, Note_on_c, 0, 42, 90
"
394,"2, 7248, Note_on_c, 0, 57, 0
"
395,"2, 7248, Note_on_c, 0, 63, 0
"
396,"2, 7248, Note_on_c, 0, 60, 110
"
397,"2, 7288, Note_on_c, 0, 42, 0
"
398,"2, 7296, Note_on_c, 0, 60, 0
"
399,"2, 7296, Note_on_c, 0, 41, 90
"
400,"2, 7296, Note_on_c, 0, 56, 107
"
401,"2, 7296, Note_on_c, 0, 63, 110
"
402,"2, 7392, Note_on_c, 0, 56, 0
"
403,"2, 7392, Note_on_c, 0, 63, 0
"
404,"2, 7392, Note_on_c, 0, 63, 110
"
405,"2, 7435, Note_on_c, 0, 41, 0
"
406,"2, 7440, Note_on_c, 0, 63, 0
"
407,"2, 7440, Note_on_c, 0, 41, 90
"
408,"2, 7440, Note_on_c, 0, 60, 110
"
409,"2, 7486, Note_on_c, 0, 41, 0
"
410,"2, 7488, Note_on_c, 0, 60, 0
"
411,"2, 7488, Note_on_c, 0, 46, 90
"
412,"2, 7488, Note_on_c, 0, 56, 107
"
413,"2, 7488, Note_on_c, 0, 63, 110
"
414,"2, 7536, Note_on_c, 0, 56, 0
"
415,"2, 7536, Note_on_c, 0, 63, 0
"
416,"2, 7536, Note_on_c, 0, 67, 110
"
417,"2, 7627, Note_on_c, 0, 46, 0
"
418,"2, 7632, Note_on_c, 0, 67, 0
"
419,"2, 7632, Note_on_c, 0, 65, 110
"
420,"2, 7632, Note_on_c, 0, 62, 107
"
421,"2, 7632, Note_on_c, 0, 55, 107
"
422,"2, 7632, Note_on_c, 0, 46, 107
"
423,"2, 7632, Note_on_c, 0, 39, 90
"
424,"2, 7632, Note_on_c, 0, 60, 107
"
425,"2, 7818, Note_on_c, 0, 39, 0
"
426,"2, 7824, Note_on_c, 0, 46, 0
"
427,"2, 7824, Note_on_c, 0, 46, 90
"
428,"2, 7870, Note_on_c, 0, 46, 0
"
429,"2, 7872, Note_on_c, 0, 46, 90
"
430,"2, 7965, Note_on_c, 0, 46, 0
"
431,"2, 7968, Note_on_c, 0, 39, 90
"
432,"2, 8061, Note_on_c, 0, 39, 0
"
433,"2, 8064, Note_on_c, 0, 65, 0
"
434,"2, 8064, Note_on_c, 0, 62, 0
"
435,"2, 8064, Note_on_c, 0, 55, 0
"
436,"2, 8064, Note_on_c, 0, 60, 0
"
437,"2, 8064, Note_on_c, 0, 64, 110
"
438,"2, 8064, Note_on_c, 0, 36, 107
"
439,"2, 8064, Note_on_c, 0, 36, 90
"
440,"2, 8203, Note_on_c, 0, 36, 0
"
441,"2, 8208, Note_on_c, 0, 43, 90
"
442,"2, 8254, Note_on_c, 0, 43, 0
"
443,"2, 8256, Note_on_c, 0, 43, 90
"
444,"2, 8304, Note_on_c, 0, 64, 0
"
445,"2, 8304, Note_on_c, 0, 67, 110
"
446,"2, 8400, Note_on_c, 0, 67, 0
"
447,"2, 8400, Note_on_c, 0, 72, 110
"
448,"2, 8442, Note_on_c, 0, 43, 0
"
449,"2, 8448, Note_on_c, 0, 36, 0
"
450,"2, 8448, Note_on_c, 0, 54, 90
"
451,"2, 8496, Note_on_c, 0, 72, 0
"
452,"2, 8496, Note_on_c, 0, 72, 110
"
453,"2, 8587, Note_on_c, 0, 54, 0
"
454,"2, 8592, Note_on_c, 0, 60, 90
"
455,"2, 8592, Note_on_c, 0, 63, 107
"
456,"2, 8685, Note_on_c, 0, 60, 0
"
457,"2, 8688, Note_on_c, 0, 63, 0
"
458,"2, 8688, Note_on_c, 0, 54, 90
"
459,"2, 8827, Note_on_c, 0, 54, 0
"
460,"2, 8832, Note_on_c, 0, 72, 0
"
461,"2, 8832, Note_on_c, 0, 36, 107
"
462,"2, 8832, Note_on_c, 0, 64, 110
"
463,"2, 8832, Note_on_c, 0, 36, 90
"
464,"2, 8928, Note_on_c, 0, 64, 0
"
465,"2, 8928, Note_on_c, 0, 67, 110
"
466,"2, 8971, Note_on_c, 0, 36, 0
"
467,"2, 8976, Note_on_c, 0, 43, 90
"
468,"2, 9022, Note_on_c, 0, 43, 0
"
469,"2, 9024, Note_on_c, 0, 67, 0
"
470,"2, 9024, Note_on_c, 0, 72, 110
"
471,"2, 9024, Note_on_c, 0, 43, 90
"
472,"2, 9120, Note_on_c, 0, 72, 0
"
473,"2, 9120, Note_on_c, 0, 74, 110
"
474,"2, 9168, Note_on_c, 0, 74, 0
"
475,"2, 9168, Note_on_c, 0, 72, 110
"
476,"2, 9210, Note_on_c, 0, 43, 0
"
477,"2, 9216, Note_on_c, 0, 36, 0
"
478,"2, 9216, Note_on_c, 0, 54, 90
"
479,"2, 9264, Note_on_c, 0, 72, 0
"
480,"2, 9264, Note_on_c, 0, 72, 110
"
481,"2, 9360, Note_on_c, 0, 60, 107
"
482,"2, 9456, Note_on_c, 0, 60, 0
"
483,"2, 9456, Note_on_c, 0, 63, 107
"
484,"2, 9588, Note_on_c, 0, 54, 0
"
485,"2, 9600, Note_on_c, 0, 72, 0
"
486,"2, 9600, Note_on_c, 0, 63, 0
"
